mood,tempo,genre,artist_type,durationSeg,top
1,1,7,0,191.0,0
6,1,4,1,368.0,0
7,1,8,2,223.0,1
1,1,0,0,206.0,0
22,1,7,1,232.0,0
20,1,7,0,219.0,0
2,2,8,1,43.0,1
21,0,4,0,557.0,0
0,1,8,1,182.0,0
22,1,0,0,347.0,0
6,1,8,1,197.0,1
18,1,0,0,223.0,0
6,0,4,0,258.0,0
3,1,8,0,302.0,0
16,1,8,1,182.0,0
7,1,4,1,235.0,1
0,1,4,1,222.0,0
22,1,4,1,199.0,0
2,1,8,0,282.0,0
5,1,7,0,242.0,0
18,1,8,0,199.0,0
3,1,8,1,364.0,0
16,1,8,1,229.0,1
6,1,4,0,314.0,1
3,1,8,0,315.0,0
7,1,0,1,250.0,0
6,1,8,0,229.0,0
5,1,7,0,195.0,0
9,1,7,0,285.0,0
2,1,8,0,235.0,1
2,2,4,0,239.0,0
22,1,7,0,197.0,0
3,1,8,2,197.0,0
14,1,7,1,184.0,0
7,1,8,0,289.0,0
3,1,8,0,250.0,0
6,0,4,1,258.0,0
2,2,8,2,143.0,0
14,1,7,0,271.0,0
1,1,0,0,234.0,0
5,1,4,0,252.0,1
22,1,4,1,277.0,1
16,1,4,2,243.0,0
22,1,1,1,216.0,0
15,1,8,0,131.0,1
2,1,4,1,1619.0,0
22,1,7,0,233.0,0
6,0,1,0,169.0,1
3,1,8,0,203.0,0
16,1,8,1,17.0,1
3,1,8,0,271.0,0
7,1,8,0,233.0,1
21,1,3,2,314.0,0
3,1,6,2,244.0,0
7,0,4,2,263.0,0
12,2,8,0,243.0,0
22,1,4,1,220.0,0
8,1,0,0,216.0,0
17,2,0,1,205.0,0
2,1,8,2,185.0,0
18,2,8,0,308.0,1
16,1,8,1,197.0,0
22,1,7,2,259.0,0
5,1,7,0,367.0,0
2,1,0,0,208.0,0
18,1,8,0,261.0,0
18,1,4,1,204.0,0
16,2,8,1,260.0,1
16,1,8,0,308.0,1
5,2,7,0,223.0,0
1,1,7,0,262.0,0
5,1,4,0,213.0,0
22,1,4,1,0.0,0
17,2,0,2,4496.0,0
7,1,0,1,119.0,0
6,1,8,2,110.0,1
2,1,8,0,304.0,0
7,1,4,1,232.0,1
21,1,4,1,372.0,0
15,1,5,0,226.0,0
6,1,8,2,0.0,1
3,1,0,0,0.0,0
22,1,7,0,300.0,0
6,1,4,0,222.0,1
5,1,7,0,0.0,0
7,1,4,0,279.0,0
22,1,0,2,331.0,0
6,0,8,1,217.0,0
5,1,8,1,230.0,0
3,1,8,1,257.0,1
7,1,4,1,278.0,0
16,2,8,0,242.0,0
16,1,4,1,247.0,0
5,1,5,0,267.0,0
21,0,4,1,210.0,0
16,1,3,0,228.0,1
21,0,8,1,259.0,1
21,1,4,0,382.0,0
22,1,7,0,263.0,0
5,1,4,0,225.0,0
21,1,7,2,329.0,0
22,1,7,0,0.0,0
16,2,8,0,146.0,1
3,1,0,0,333.0,0
5,2,4,0,319.0,0
2,1,8,0,323.0,0
22,1,4,1,223.0,1
5,1,7,0,272.0,0
2,2,8,0,0.0,0
